time,open,high,low,close,volume,day
2026-07-27 22:15:00,14524.0,14527.0,14501.0,14515.0,4599.0,2026-07-27
2026-07-27 22:30:00,14515.0,14522.0,14495.0,14497.0,1594.0,2026-07-27
2026-07-27 22:45:00,14497.0,14517.0,14495.0,14504.0,2839.0,2026-07-27
2026-07-27 23:00:00,14504.0,14509.0,14492.0,14496.0,1766.0,2026-07-27
2026-07-27 23:15:00,14496.0,14506.0,14488.0,14498.0,3055.0,2026-07-27
2026-07-28 09:00:00,14475.0,14475.0,14375.0,14405.0,6299.0,2026-07-28
2026-07-28 09:15:00,14405.0,14417.0,14401.0,14402.0,3875.0,2026-07-28
2026-07-28 09:30:00,14404.0,14405.0,14375.0,14377.0,5976.0,2026-07-28
2026-07-28 09:45:00,14377.0,14390.0,14375.0,14375.0,2276.0,2026-07-28
2026-07-28 10:00:00,14377.0,14382.0,14365.0,14381.0,3378.0,2026-07-28
2026-07-28 10:15:00,14381.0,14389.0,14370.0,14371.0,1990.0,2026-07-28
2026-07-28 10:30:00,14371.0,14374.0,14365.0,14372.0,2157.0,2026-07-28
2026-07-28 10:45:00,14368.0,14378.0,14368.0,14378.0,1953.0,2026-07-28
2026-07-28 11:00:00,14378.0,14379.0,14350.0,14359.0,4902.0,2026-07-28
2026-07-28 11:15:00,14359.0,14374.0,14354.0,14373.0,3223.0,2026-07-28
2026-07-28 11:30:00,14373.0,14386.0,14371.0,14377.0,2458.0,2026-07-28
2026-07-28 11:45:00,14377.0,14385.0,14376.0,14382.0,2197.0,2026-07-28
2026-07-28 12:00:00,14382.0,14396.0,14382.0,14391.0,2693.0,2026-07-28
2026-07-28 12:15:00,14391.0,14397.0,14385.0,14385.0,1281.0,2026-07-28
2026-07-28 12:30:00,14385.0,14392.0,14385.0,14389.0,672.0,2026-07-28
2026-07-28 12:45:00,14389.0,14406.0,14388.0,14398.0,2016.0,2026-07-28
2026-07-28 13:00:00,14398.0,14401.0,14387.0,14387.0,1287.0,2026-07-28
2026-07-28 13:15:00,14391.0,14391.0,14382.0,14382.0,867.0,2026-07-28
2026-07-28 13:30:00,14382.0,14399.0,14379.0,14379.0,1554.0,2026-07-28
2026-07-28 13:45:00,14379.0,14394.0,14379.0,14394.0,1035.0,2026-07-28
2026-07-28 14:00:00,14394.0,14394.0,14381.0,14392.0,1557.0,2026-07-28
2026-07-28 14:15:00,14392.0,14394.0,14380.0,14381.0,1022.0,2026-07-28
2026-07-28 14:30:00,14381.0,14381.0,14368.0,14368.0,1395.0,2026-07-28
2026-07-28 14:45:00,14368.0,14375.0,14366.0,14368.0,974.0,2026-07-28
2026-07-28 15:00:00,14368.0,14370.0,14350.0,14357.0,3097.0,2026-07-28
2026-07-28 15:15:00,14357.0,14360.0,14328.0,14335.0,5683.0,2026-07-28
2026-07-28 15:30:00,14335.0,14352.0,14334.0,14345.0,2823.0,2026-07-28
2026-07-28 15:45:00,14345.0,14350.0,14321.0,14324.0,3768.0,2026-07-28
2026-07-28 16:00:00,14321.0,14333.0,14320.0,14329.0,2720.0,2026-07-28
2026-07-28 16:15:00,14330.0,14343.0,14329.0,14339.0,2259.0,2026-07-28
2026-07-28 16:30:00,14339.0,14344.0,14330.0,14330.0,1210.0,2026-07-28
2026-07-28 16:45:00,14330.0,14347.0,14330.0,14344.0,1004.0,2026-07-28
2026-07-28 17:00:00,14344.0,14351.0,14334.0,14335.0,1289.0,2026-07-28
2026-07-28 17:15:00,14335.0,14341.0,14330.0,14341.0,1670.0,2026-07-28
2026-07-28 17:30:00,14341.0,14343.0,14332.0,14340.0,992.0,2026-07-28
2026-07-28 17:45:00,14340.0,14359.0,14333.0,14356.0,3302.0,2026-07-28
2026-07-28 18:00:00,14356.0,14360.0,14340.0,14357.0,1976.0,2026-07-28
2026-07-28 18:15:00,14357.0,14369.0,14345.0,14345.0,1927.0,2026-07-28
2026-07-28 18:30:00,14345.0,14358.0,14345.0,14350.0,1242.0,2026-07-28
2026-07-28 18:45:00,14350.0,14355.0,14345.0,14346.0,1048.0,2026-07-28
2026-07-28 19:00:00,14346.0,14350.0,14322.0,14337.0,3195.0,2026-07-28
2026-07-28 19:15:00,14337.0,14338.0,14330.0,14330.0,1685.0,2026-07-28
2026-07-28 19:30:00,14330.0,14350.0,14330.0,14339.0,1953.0,2026-07-28
